buildingType,primaryPropertyType,councilDistrictCode,neighborhood,nb_buildings,nb_floors,propertyGFA_total,propertyGFA_parking,propertyGFABuilding,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,energystar_score,siteEnergyUse_kBtu,GHG_emissions_TCO2e,complianceStatus,buildingAge,consumeGas,consumeSteam
nonresidential,k-12 school,1,delridge,1.0,2.0,42975,0,42975,k-12 school,21405.0,,,,,92.0,959352.0,42.96,compliant,92,True,False
nonresidential cos,other,5,north,2.0,1.0,30498,0,30498,other - recreation,30498.0,,,,,,2436063.0,80.19,compliant,11,True,False
nonresidential,self-storage facility,5,north,2.0,2.0,33344,0,33344,self-storage facility,31360.0,office,984.0,parking,0.0,,123767.2031,0.86,compliant,39,False,False
nonresidential,medical office,5,north,1.0,3.0,28841,0,28841,medical office,28841.0,,,,,55.0,1459199.75,33.42,compliant,28,True,False
nonresidential,retail store,5,north,1.0,1.0,41615,0,41615,retail store,41615.0,,,,,69.0,1900006.25,13.25,error - correct default data,50,False,False
nonresidential,mixed use property,5,north,1.0,2.0,32009,0,32009,non-refrigerated warehouse,17500.0,retail store,15770.0,office,4000.0,,1998725.25,44.28,compliant,64,True,False
nonresidential,distribution center,2,greater duwamish,1.0,1.0,21349,0,21349,distribution center,13000.0,office,8349.0,,,70.0,659761.875,17.04,compliant,69,True,False
nonresidential,other,5,northwest,5.0,1.0,23166,0,23166,other,23166.0,,,,,,3475804.25,184.6,compliant,46,True,False
nonresidential,restaurant,1,southwest,1.0,2.0,20398,0,20398,restaurant,19232.0,office,1166.0,,,,9313513.0,334.15,compliant,114,True,False
nonresidential,supermarket / grocery store,6,ballard,1.0,1.0,45522,0,45522,supermarket/grocery store,45522.0,parking,0.0,,,22.0,12250422.0,326.74,compliant,22,True,False
campus,other,1,greater duwamish,5.0,2.0,138907,0,138907,other,139557.0,,,,,,7837692.5,179.55,compliant,27,True,False
nonresidential,small- and mid-sized office,7,magnolia / queen anne,1.0,4.0,57110,15812,41298,office,36867.0,parking,28390.0,,,69.0,2190460.0,24.31,compliant,32,True,False
nonresidential cos,small- and mid-sized office,2,greater duwamish,1.0,2.0,21315,0,21315,office,20424.0,,,,,34.0,2796425.0,110.66,compliant,43,True,False
nonresidential,small- and mid-sized office,2,downtown,1.0,2.0,23472,0,23472,office,20695.0,other,1065.0,retail store,945.0,,1625308.625,46.45,compliant,27,True,False
nonresidential,mixed use property,2,downtown,1.0,2.0,29631,0,29631,supermarket/grocery store,16000.0,office,13000.0,restaurant,5000.0,,5144392.0,146.93,compliant,56,True,False
nonresidential,hotel,3,east,1.0,9.0,48006,0,48006,hotel,48006.0,,,,,85.0,3239754.0,101.31,compliant,88,True,False
nonresidential,hotel,3,east,1.0,6.0,35770,0,35770,hotel,35770.0,,,,,56.0,2640980.25,112.34,compliant,88,True,False
nonresidential,small- and mid-sized office,3,east,1.0,3.0,25151,0,25151,office,24155.0,,,,,85.0,1356874.75,62.05,compliant,57,False,True
nonresidential,small- and mid-sized office,1,delridge,1.0,2.0,66484,0,66484,office,49334.0,non-refrigerated warehouse,18000.0,retail store,9000.0,69.0,3046543.0,21.24,compliant,28,False,False
nonresidential,other,1,delridge,1.0,1.0,40189,0,40189,other - utility,28347.0,office,9113.0,parking,0.0,,1509292.0,37.65,compliant,19,True,False
nonresidential,mixed use property,7,downtown,1.0,11.0,111137,0,111137,office,42939.0,multifamily housing,40878.0,bank branch,10887.0,,9546165.0,294.65,compliant,107,True,False
nonresidential,retail store,5,northwest,1.0,2.0,20088,0,20088,retail store,16080.0,office,3500.0,parking,508.0,,326778.6875,2.28,compliant,37,False,False
nonresidential,other,5,north,1.0,1.0,30160,0,30160,other,30139.0,,,,,,1045838.5,44.26,compliant,47,True,False
nonresidential,small- and mid-sized office,5,north,1.0,3.0,33580,12990,20590,office,20590.0,parking,12990.0,,,100.0,409578.4063,2.86,compliant,31,False,False
nonresidential,other,1,delridge,1.0,2.0,28109,0,28109,other,28109.0,,,,,,3612526.75,38.39,compliant,50,True,False
nonresidential,other,2,southeast,1.0,2.0,41022,0,41022,other,41022.0,,,,,,3787648.25,26.41,compliant,95,False,False
nonresidential,small- and mid-sized office,3,east,1.0,3.0,21282,0,21282,office,19658.0,,,,,69.0,1245923.75,62.23,compliant,60,False,True
nonresidential,medical office,3,east,1.0,0.0,274568,0,274568,medical office,228133.0,parking,135954.0,,,52.0,25311526.0,1110.07,compliant,71,False,True
nonresidential,other,3,east,1.0,1.0,47699,0,47699,museum,47000.0,parking,0.0,,,,14524386.0,712.39,compliant,65,True,True
nonresidential,small- and mid-sized office,3,east,1.0,7.0,54372,20824,33548,office,54372.0,parking,15000.0,,,94.0,1403820.0,9.79,compliant,46,False,False
nonresidential,residence hall,3,east,1.0,1.0,44086,0,44086,residence hall/dormitory,44091.0,,,,,29.0,3652708.75,184.0,compliant,112,True,True
nonresidential,warehouse,1,greater duwamish,1.0,1.0,20200,0,20200,non-refrigerated warehouse,18700.0,office,1500.0,,,,269016.6875,2.25,compliant,116,True,False
nonresidential,small- and mid-sized office,1,greater duwamish,1.0,2.0,40657,0,40657,office,40657.0,parking,0.0,,,57.0,2826828.0,23.6,compliant,19,True,False
nonresidential,warehouse,5,north,1.0,1.0,21936,0,21936,non-refrigerated warehouse,21936.0,,,,,100.0,113130.0,2.69,compliant,39,True,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,38630,0,38630,non-refrigerated warehouse,38500.0,,,,,33.0,416885.5938,2.91,compliant,80,False,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,29394,0,29394,non-refrigerated warehouse,29394.0,office,16902.0,,,60.0,1486681.75,26.27,compliant,24,True,False
nonresidential,other,2,greater duwamish,1.0,1.0,24109,0,24109,manufacturing/industrial plant,24109.0,parking,0.0,,,,4747403.5,33.1,compliant,56,False,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,48280,0,48280,non-refrigerated warehouse,40780.0,office,7500.0,,,18.0,2701833.75,78.57,compliant,48,True,False
nonresidential,retail store,2,greater duwamish,1.0,1.0,43794,0,43794,retail store,34038.0,office,9756.0,,,88.0,1164537.75,23.5,compliant,41,True,False
nonresidential,small- and mid-sized office,2,greater duwamish,1.0,4.0,53840,12870,40970,office,42800.0,parking,10400.0,,,71.0,2912454.75,46.85,compliant,103,True,False
nonresidential,warehouse,3,east,1.0,2.0,43200,0,43200,non-refrigerated warehouse,43200.0,,,,,38.0,1929851.5,49.18,compliant,101,True,False
nonresidential,mixed use property,3,east,1.0,1.0,36000,0,36000,parking,18000.0,retail store,18000.0,,,59.0,1162163.125,26.52,compliant,103,True,False
nonresidential,small- and mid-sized office,3,east,1.0,2.0,36000,0,36000,office,27600.0,other,8400.0,,,95.0,1046187.625,18.04,compliant,109,True,False
nonresidential cos,warehouse,5,northwest,1.0,1.0,25658,0,25658,non-refrigerated warehouse,18854.0,office,6804.0,,,,1063960.125,18.87,compliant,47,True,False
nonresidential,mixed use property,5,northwest,1.0,1.0,66704,0,66704,other - education,23904.0,distribution center,18500.0,non-refrigerated warehouse,18500.0,,600516.875,19.77,compliant,44,True,False
nonresidential,other,5,north,1.0,3.0,35115,0,35115,automobile dealership,35115.0,,,,,,1922953.25,31.94,compliant,7,True,False
nonresidential cos,mixed use property,2,southeast,1.0,1.0,28425,0,28425,fitness center/health club/gym,14081.0,other - recreation,12824.0,office,1479.0,,2133797.75,57.25,compliant,21,True,False
nonresidential,distribution center,2,greater duwamish,1.0,1.0,36040,0,36040,distribution center,31476.0,office,4564.0,,,,363808.1875,7.74,compliant,62,True,False
nonresidential cos,medical office,2,southeast,1.0,2.0,38352,11082,27270,medical office,19987.0,office,7505.0,,,36.0,2108861.75,14.7,compliant,26,False,False
nonresidential,retail store,2,southeast,1.0,1.0,36071,0,36071,retail store,36071.0,,,,,97.0,1519952.125,50.76,error - correct default data,48,True,False
nonresidential,small- and mid-sized office,3,central,1.0,5.0,72613,22788,49825,office,49825.0,parking,22788.0,,,84.0,2602213.75,41.96,compliant,32,True,False
nonresidential,mixed use property,2,greater duwamish,1.0,1.0,46183,0,46183,non-refrigerated warehouse,18871.0,food service,14000.0,retail store,13312.0,,1890502.5,27.92,compliant,85,True,False
nonresidential,small- and mid-sized office,2,greater duwamish,1.0,2.0,47368,0,47368,office,47368.0,parking,0.0,,,99.0,1042652.625,7.27,compliant,37,False,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,23792,0,23792,non-refrigerated warehouse,22992.0,office,800.0,,,,2852102.75,19.88,compliant,27,False,False
nonresidential,warehouse,2,greater duwamish,1.0,3.0,71283,0,71283,non-refrigerated warehouse,57910.0,office,13373.0,,,41.0,2491238.25,43.17,compliant,100,True,False
nonresidential,distribution center,2,greater duwamish,1.0,1.0,28144,0,28144,distribution center,22201.0,office,6087.0,,,19.0,858701.0,8.22,compliant,50,True,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,35400,0,35400,non-refrigerated warehouse,35400.0,,,,,84.0,419978.6875,9.29,compliant,57,True,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,43390,0,43390,non-refrigerated warehouse,36430.0,office,6960.0,,,87.0,533742.8125,3.72,compliant,46,False,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,23750,0,23750,non-refrigerated warehouse,19430.0,office,1470.0,,,,522972.1875,3.65,compliant,46,False,False
sps-district k-12,k-12 school,2,southeast,1.0,3.0,51672,0,51672,k-12 school,51672.0,,,,,97.0,1436510.375,20.3,compliant,27,True,False
nonresidential,small- and mid-sized office,4,lake union,1.0,2.0,34110,0,34110,office,34110.0,,,,,31.0,2563985.5,17.87,compliant,56,False,False
nonresidential,supermarket / grocery store,4,northeast,1.0,1.0,32822,0,32822,supermarket/grocery store,35042.0,parking,0.0,,,42.0,8839812.0,219.93,compliant,51,True,False
nonresidential,worship facility,4,northeast,1.0,2.0,20385,0,20385,worship facility,20385.0,,,,,65.0,809291.8125,34.04,compliant,66,True,False
nonresidential,retail store,5,north,1.0,1.0,24982,0,24982,retail store,24982.0,,,,,99.0,335245.0,2.34,error - correct default data,51,False,False
nonresidential,warehouse,2,greater duwamish,1.0,2.0,20400,0,20400,non-refrigerated warehouse,15000.0,office,5400.0,,,69.0,438557.0,12.17,compliant,90,True,False
nonresidential,other,2,greater duwamish,1.0,1.0,26075,0,26075,other,26075.0,,,,,,1608508.75,17.6,compliant,98,True,False
nonresidential,small- and mid-sized office,2,greater duwamish,1.0,1.0,20460,0,20460,office,20460.0,,,,,16.0,903541.875,6.3,compliant,90,False,False
nonresidential,other,2,greater duwamish,1.0,1.0,20975,0,20975,other - entertainment/public assembly,13144.0,other,6600.0,fast food restaurant,1070.0,,347437.6875,6.46,compliant,79,True,False
nonresidential,other,2,greater duwamish,2.0,1.0,27760,0,27760,other,19715.0,office,12000.0,retail store,6000.0,,2833624.5,112.82,compliant,100,True,False
nonresidential,other,2,greater duwamish,1.0,4.0,44775,0,44775,other,44775.0,,,,,,950695.625,29.88,compliant,107,True,False
nonresidential,retail store,5,northeast,1.0,1.0,26853,0,26853,retail store,20360.0,,,,,68.0,1399062.75,21.46,compliant,64,True,False
nonresidential,k-12 school,5,northeast,1.0,2.0,43645,0,43645,k-12 school,37000.0,,,,,71.0,2053956.375,85.15,compliant,67,True,False
nonresidential,k-12 school,3,central,1.0,2.0,24152,0,24152,k-12 school,24152.0,,,,,100.0,161363.4063,1.12,non-compliant,87,False,False
sps-district k-12,k-12 school,4,northeast,1.0,1.0,64314,0,64314,k-12 school,65210.0,,,,,86.0,2936336.25,108.05,error - correct default data,68,True,False
